symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,11.190476190476188,Medium,0,1
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,11.190476190476188,Medium,0,1
1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9097222222222222,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,12.36842105263158,Medium,0,1
2,164,audi,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.9194444444444444,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,9.791666666666666,Medium,0,1
2,164,audi,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.9222222222222224,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,13.055555555555555,Medium,0,1
2,122,audi,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.9208333333333332,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,12.36842105263158,Medium,0,1
1,158,audi,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666668,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,12.36842105263158,Medium,0,1
1,122,audi,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9916666666666668,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,12.36842105263158,Medium,0,1
1,158,audi,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666668,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,13.823529411764708,Medium,0,1
2,192,bmw,std,two,sedan,rwd,front,101.2,0.8495915425276309,0.8999999999999999,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,10.217391304347826,Low,0,1
0,192,bmw,std,four,sedan,rwd,front,101.2,0.8495915425276309,0.8999999999999999,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,10.217391304347826,Low,0,1
0,188,bmw,std,two,sedan,rwd,front,101.2,0.8495915425276309,0.8999999999999999,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,11.190476190476188,Medium,0,1
0,188,bmw,std,four,sedan,rwd,front,101.2,0.8495915425276309,0.8999999999999999,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,11.190476190476188,Medium,0,1
1,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666668,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,11.75,Medium,0,1
0,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666668,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,14.6875,High,0,1
0,122,bmw,std,two,sedan,rwd,front,103.5,0.9312830370014415,0.9430555555555556,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,14.6875,High,0,1
0,122,bmw,std,four,sedan,rwd,front,110.0,0.9466602594906296,0.9847222222222224,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,15.666666666666664,High,0,1
2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8374999999999999,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,5.0,Low,0,1
1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8833333333333333,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,6.184210526315789,Low,0,1
0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.7630946660259491,0.8833333333333333,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,6.184210526315789,Low,0,1
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,6.351351351351353,Low,0,1
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,7.580645161290323,Low,0,1
1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,9.791666666666666,Medium,0,1
1,148,dodge,std,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,7.580645161290323,Low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,7.580645161290323,Low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,7.580645161290323,Low,0,1
1,148,dodge,turbo,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,9.791666666666666,Medium,0,1
-1,110,dodge,std,four,wagon,fwd,front,103.3,0.8390197020663143,0.8972222222222221,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,9.791666666666666,Low,0,1
3,145,dodge,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333332,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,12.36842105263158,Medium,0,1
2,137,honda,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,4.795918367346938,Low,0,1
2,137,honda,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,7.580645161290323,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,6.184210526315789,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,7.833333333333332,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,7.833333333333332,Low,0,1
0,110,honda,std,four,sedan,fwd,front,96.5,0.7851994233541567,0.8888888888888888,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,7.833333333333332,Low,0,1
0,78,honda,std,four,wagon,fwd,front,96.5,0.7549255165785679,0.8875,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,7.833333333333332,Low,0,1
0,106,honda,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,8.703703703703704,Low,0,1
0,106,honda,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,8.703703703703704,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,8.703703703703704,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.8680555555555556,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,8.703703703703704,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,9.791666666666666,Low,0,1
1,107,honda,std,two,sedan,fwd,front,96.5,0.8125901009130225,0.9166666666666666,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,9.4,Low,0,1
0,122,isuzu,std,four,sedan,rwd,front,94.3,0.8202787121576165,0.8583333333333333,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,9.791666666666666,Low,0,1
2,122,isuzu,std,two,hatchback,rwd,front,96.0,0.8294089380105718,0.9055555555555556,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,9.791666666666666,Low,0,1
0,145,jaguar,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,15.666666666666664,High,0,1
0,122,jaguar,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,15.666666666666664,High,0,1
0,122,jaguar,std,two,sedan,rwd,front,102.0,0.921191734742912,0.9805555555555556,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,18.07692307692308,,0,1
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,7.833333333333332,Low,0,1
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,7.580645161290323,Low,0,1
