feature,importance_mean,importance_std
engine-size,3594.2877304240938,317.0005052071638
curb-weight,2796.219709530036,307.75703824688145
horsepower,1587.4718149410626,175.18144908579026
highway-mpg,365.7201077454816,66.78214278384365
drive-wheels_rwd,319.39996155013677,101.09350793829299
width,317.76667392358326,53.03776028122253
bore,273.79460248715503,58.20361908656094
length,222.2360826332756,32.16564765903347
make_bmw,130.01751976183513,37.313748898258204
peak-rpm,119.37870891890535,25.196315120228263
make_nissan,102.19671567878615,33.14114644746141
compression-ratio,80.549177448888,24.008209446951984
height,60.33105228689444,34.40548591357834
wheel-base,41.971431592844496,31.454421718774878
drive-wheels_fwd,35.566023341487096,18.001710931717163
stroke,25.469197330080327,13.933040125611724
fuel-system_mpfi,17.018123628725505,9.701251450226115
make_mazda,13.392048305316598,3.8544353161358544
engine-type_ohcv,13.071906671281578,4.589259380194971
city-L/100km,12.39475104529571,23.578722810996386
body-style_hatchback,10.977329548016428,5.178454749279293
normalized-losses,10.606823764061028,20.970712666883323
make_audi,9.873511552343313,3.9811335201943736
num-of-doors_two,5.866643293981201,2.213391878415062
make_saab,4.571832380366845,6.587430486554468
body-style_sedan,4.549234092324423,8.570977149973562
body-style_hardtop,4.313709598061848,5.636750290864214
make_toyota,4.197756364813472,6.385410421935457
make_mercury,4.194008319399757,2.880672465418719
engine-type_ohc,4.024919209104894,3.6215157657238595
fuel-system_2bbl,3.1490638794610275,6.154439031719131
make_honda,2.1639172299520966,7.427928629924416
make_porsche,2.07715104385278,3.486714610950263
diesel,1.2880021749677895,0.7035149286397895
fuel-system_idi,1.1561434466710239,0.6315363075433781
make_peugot,1.091339517866834,1.5782595824290782
fuel-system_spdi,1.0308814762735892,1.011790016507183
body-style_wagon,1.0010884763307217,0.3951700065819293
make_mercedes-benz,0.8001803177773695,0.18274767940329611
engine-type_l,0.7737882100832849,0.4433526235985494
horsepower-binned_Low,0.4177615378256519,0.32300427599836445
make_volvo,0.3696434441033375,2.4189456958357427
make_mitsubishi,0.30397011840696,5.850470539546746
engine-type_ohcf,0.0,0.0
fuel-system_4bbl,0.0,0.0
num-of-cylinders_two,0.0,0.0
num-of-cylinders_twelve,0.0,0.0
num-of-cylinders_three,0.0,0.0
engine-type_rotor,0.0,0.0
make_chevrolet,0.0,0.0
make_subaru,0.0,0.0
make_dodge,0.0,0.0
make_renault,0.0,0.0
make_isuzu,0.0,0.0
fuel-system_mfi,0.0,0.0
make_volkswagen,0.0,0.0
fuel-system_spfi,0.0,0.0
num-of-cylinders_five,-0.0369226106329279,0.0
engine-location_rear,-0.09189929251321019,0.2804760156617994
num-of-cylinders_four,-0.09321092715761096,1.7727667395293056
make_jaguar,-0.247171397973284,0.5373096112520271
gas,-0.5827278750452933,0.7021433590960464
horsepower-binned_Medium,-0.7367510243674473,1.821206969964629
make_plymouth,-1.3414714434578514,3.285866037009776
num-of-cylinders_six,-5.629472437500044,2.47856594069964
aspiration_turbo,-5.996967162932412,15.916646215032866
city-mpg,-10.094091498094395,8.566050925546149
symboling,-24.802543668321768,32.78702156946257
